software,description,tags
odat,Oracle Database Attacking Tool,[Linux][PenTest:Brute][3]
msdat,MSSQL Database Attacking Tool,[Linux][PenTest:Brute][3]
honeytrap,Extensible opensource system for running. monitoring. and managing honeypots.,[Linux][Personal][5]
prompts,Javascript lightweight and user-friendly interactive prompts,[Linux][Personal][5]
PrivEsc,Collection of Windows Linux and MySQL privexc scripts and exploits,[Linux][Windows][PenTest:Priv][5]
awesome-pentest,Collection of awesome pentest resources. tools. shiny things. should be in Bookmarklist.nbk,[Learning][Bookmarks][4]
getsploit,The 'searchsploit' of the vulners exploit search api. Ability to download database locally.,[Linux][Exploits][2]
api,The vulners API if desired to code anything to it. Getsploit and .nse probably all I need.,[Linux][5]
setup-ipsec-vpn,Scripts for eas VPN server setup,[Linux][Personal][5]
cloudmapper,Javascript attempt to create network map of AWS information using the AWS CLI,[Linux][PenTest:Info][4]
AWSBucketDump,Python script looking for interesting files in AWS S3 buckets,[Linux][Windows][PenTest:Info][4]
mitmproxy,Intercepting HTTP proxy for pentesters and developers.,[Linux][3]
headless-chrome-crawler,Cawler powered by Headless Chrome.,[Linux][5]
pysheeet,Cool Python cheet sheet. available as PDF or web server.,[Linux][Cheatsheets][4]
requests-html,HTTP Requests library for Python making handling HTTP requests simple.,[Linux][3]
bettercap,Network attack and monitoring framework,[Linux][PenTest:Info][3]
frida,Javascript and library injection into apps for testing. Reverse engineering/advanced analytics/tinkering.,[Linux][Exploitdev][4]
password_cracking_rules,A ruleset for hashcat that was created to function more efficiently overall than other common password cracking rulesets,[Linux][PenTest:Brute][4]
Brida,A bridge between BURP and Frida,[Linux][PenTest:Web][4]
RE-for-beginners,Reverse Engineering for beginners free book,[Learning][Exploitdev][5]
metasploit-framework,The fancy and magical metasploit framework official repo,[Linux][Exploits][Framework][2]
hashcat,The magical hashcat password cracking tool,[Linux][PenTest:Brute][3]
MS17-010,NSA exploits for Windows in python form,[Windows][Exploits][3]
mimikatz,The fantastical and magical mimikatz for password dumping from Windows machines,[Windows][Exploits][2]
pupy,Cross platform remote administration and post-exploitation tool written in python.,[Linux][Windows][Framework][4]
sg1,"An interesting 'swiss army knife' for data encryption, exfil, and covert communication. Like a fancy and specific nc or socat.",[Linux][5]
PowerShell,Windows PowerShell For every system,[Linux][Windows][1]
FOCA,Find metadata and more from Documents through Google. Bing. and DuckDuckGo,[Windows][PenTest:Info][4]
exploits,Raptors repo of exploits including MySQL UDF and more,[Linux][Exploits][3]
tactical-exploitation,Brute force scripts that can accomplish various pentesting tasts. botshot.verbal.seitan.letmein. and more could be useful,[Linux][PenTest:Brute][3]
pics,Several reference infographics. Starred for the binary poster collection,[Exploitdev][5]
JohnTheRipper,JohntheRipper a pretty good hashcracker. Alternative see hashcat.,[Linux][PenTest:Brute][3]
Invoke-Obfuscation,An obfuscator for powershell commands. Kind of like veil for powershell commands.,[Linux][Windows][2]
EvilOSX,A python post-exploitation RAT for macOS/OSX,[Linux][PenTest:Post][5]
Probable-Wordlists,Lists of “probable” passwords. In addition it has links to download other wordlists,[Lists][5]
bytecode-viewer,Java 8 jar and Android APK RE suite (decompile.edit.debug.more),[Linux][Exploitdev][Debug][5]
You-Dont-Know-JS,A book series for learning about javascript.,[Learning][5]
gitleaks,GO based github search for secrets,[Linux][PenTest:Info][5]
radamsa,General-purpose fuzzer. Has a list of other tools in readme.,[Linux][Fuzz][5]
darkc0de-old-stuff,Various scripts on darkc0de. Various usefulness. Needs to be scanned thoroughly. Maybe too much effort.,[Linux][5]
aslur,ASLR bypass etc from conference,[Linux][Exploitdev][Learning][5]
PcapXray,Network forensic tool. Visualize packet capture offline as network diagram. Interesting way to visualize network traffic.,[Linux][PenTest:Report][5]
ntopng,nTOPng web-based network traffic monitoring.,[Linux][PenTest:Report][5]
elf-strings,ELF-strings will programmatically read an ELF binary’s string sections within a given binary. Like the ‘strings’ Unix utility but purpose built for ELF binaries.,[Linux][Debug][4]
vim-anywhere,The ability to run VIM anywhere.,[Linux][Personal][5]
bruteforce-salted-openssl,Script to help crack openssl .enc filetypes,[Linux][PenTest:Brute][5]
VSCodeNotebook,Use VS Code as a reliable note-taking.journal application. Port of the SublimeNotebook project.,[Linux][Personal][5]
GhostText,Use a text editor to write in your browser. Put it into a notepad. Vice-versa. Seemlessly.,[Linux][Personal][5]
awesome,A curated list of awesome lists. Should be in Bookmarklist.nbk.,[Learning][Bookmarks][5]
sshLooter,Basically sends the user.password.and ip of who is connecting to SSH. Use local on a box to start gathering live data.,[Linux][PenTest:Post][3]
acme.sh,Unix shell script implementing the ACME client protocol (letsencrypt),[Linux][Personal][5]
bounty-monitor,Leverage certificate transparency live feed to monitor for newly issued subdomains for domains that participate in bug bounty programs,[Linux][TheHunt][2]
3snake,Similar to sshLooter. Reads memory from sshd and sudo calls. Uses ptrace to attach to calls. Requires ptrace enabled and proc filesystem mounted,[Linux][PenTest:Post][3]
lscript,The LazyScript. Makes scripts only one or two keystrokes away. Menu interface. Customizable and extendable.,[Linux][Personal][3]
dom-to-image,Generate an image from a DOM node using HTML5 canvas. Some additional requirements.,[PenTest:Report][5]
commix,An automated command injection tool. Immense amount of options. ,[PenTest:Web][PenTest:Scan][Fuzz][2]
tbhm,Jason Haddix bug hunter methodology. V2 is downloaded pdf. Great resource.,[TheHunt][Learning][Bookmarks][4]
truffleHog,Searches through git repositories for high entropy strings and secrets. Many tools so need to compare.,[Alt][Audit][4]
gitrob,Web server that can search through git repositories for secrets,[Alt][Audit][4]
bugbounty-cheatsheet,Useful cheetsheets for bug bounty hunting and overall pentesting,[Cheatsheets][4]
XSS-Radar,A browser extension for fast and easy xss fuzzing. Only tests reflected XSS.,[PenTest:Web][5]
tko-subs,Help detect and takeover subdomains with dead DNS records (only some CMS providers supported),[Linux][TheHunt][PenTest:Info][4]
HostileSubBruteforcer,Brute forces and attempts to detect subdomains that can be takeover,[Linux][TheHunt][PenTest:Info][4]
autoSubTakeover,Brute force subdomains with subbrute to detect subs that can be takeover,[Linux][TheHunt][PenTest:Info][4]
backslash-powered-scanner,Burp plugin to compliment the active scanner. Requires BURP pro,[PenTest:Web][3]
psychoPATH,Burp plugin to find blind file upload and LFI. Great documentation. Requires BURP pro,[PenTest:Web][3]
SSRF-Testing,Great resource repo for SSRF,[PenTest:Web][4]
ssrf_proxy,Facilitates tunneling HTTP communication through servers vulnerable to SSRF. Ruby,[PenTest:Web][3]
tplmap,Facilitate automated testing and exploitation of SSTI. Also available in a BURP plugin.,[PenTest:Web][3]
Burp-Hunter,Burp plugin of XSS Hunter client. Perform injection replacements and record the requests. Requires XSS Hunter domain and XSS Hunter correlation key.,[PenTest:Web][4]
xsshunter_client,XSS Hunter correlated injection proxy for XSS Hunter. ,[PenTest:Web][3]
xsshunter,XSS Hunter service. A portable version of XSSHunter.com. Requires server. mailgun. domain name. wildcard SSL cert.,[PenTest:Web][2]
sleepy-puppy,Alternate to XSS Hunter. Docker support webserver that can track and manage XSS payloads,[PenTest:Web][Alt][3]
parameth,Brute force discover GET and POST parameters,[Linux][PenTest:Web][PenTest:Brute][Personal][4]
commonspeak,Newer wordlist generation tool that leverages public datasets from Google's BigQuery platform.,[Linux][PenTest:Info][4]
CMSScanner,From wpscan team. A Generalized CMS scanner framework,[Linux][Framework][PenTest:Web][PenTest:Scan][5]
wpscan,WordPress specific CMS scanner. Info gatherer. Etc,[Linux][PenTest:Web][PenTest:Scan][3]
wpscan-v3,WordPress specific CMS scanner. Info gatherer. V3 Beta in active development,[Linux][PenTest:Web][PenTest:Scan][3]
BurpSmartBuster,Burp plugin that facilitates content discovery. Directories. Files. Extension prefix and suffixs.,[PenTest:Web][5]
LinkFinder,Python script to find endpoints in JavaScript files. Full URLs. Absolute URLs or dotted URLS. URLS with slashes. URLs without slashes. Chrome extension as well.,[PenTest:Web][PenTest:Scan][5]
JSParser,Python script to parse URLs from JavaScript files to help discover AJAX requests,[PenTest:Web][PenTest:Scan][5]
burp-vulners-scanner,Burp plugin for the vulners database,[PenTest:Web][PenTest:Scan][4]
EyeWitness,Take screenshots of websites. RDP services. OpenVNC servers. Provide header info. And more. Takes list of URLs. Nmap XML or nessus XML output.,[PenTest:Report][2]
brutespray,Automatically attempts default credentials on services found from nmap output using Medusa. Ability to specify user lists as well.,[PenTest:Brute][4]
censys-python,Python wrapper for the Censys REST API (censys.io certificates mainly for subdomain enum),[PenTest:Info][3]
cloudflare_enum,Python script for enumerating Cloudflare DNS data,[PenTest:Info][4]
brutesubs,An automation frameowrk for running multiple subdomain tools in parallel. Not in active development anymore. Relies on docker compose.,[PenTest:Brute][PenTest:Info][5]
Turbolist3r,Fork of sublist3r with additional capabilities to help detect subdomain takeover,[PenTest:Info][4]
oss-fuzz,Framework for continual fuzzing and bug tracking using Jenkins. GCS bucket. ClusterFuzz. Etc,[Framework][Fuzz][4]
CrackMapExec,Swiss army knife for pentesting networks. Contains stuff from Impacket. PowerSploit. Invoke-Obfuscation. Pywinrm. Smbexec. And more,[Framework][PenTest:Network][2]
linkedin2username,Crawl companies on LinkedIn. Find employees. Generate potential usernames from said employees.,[PenTest:Info][4]
AutoSploit,Metasploit meets Shodan (essentially),[PenTest:Scan][Exploits][5]
awesome-selfhosted,List of self-hosted free software,[Personal][Lists][5]
Passhunt,Wrapper for cirt.net default password database (not sure if updated regularly). Personal TODO. Crawl and just download the cirt.net list.,[Personal][Lists][5]
requests,Python requests. Different from requests-html (python 3 only). ,[Personal][5]
git-all-secrets,Aims to combine multiple git search tools for a multi-layered approach on git secret scanning,[Audit][PenTest:Info][5]
pywinrm,Python library for Windows Remote Management,[PenTest:Network][3]
